"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"80",39049006230,74749,0,5071,2899,855,116705,0,5142,5739,2854,1983,887,887,645,34.7,1305,2004,1369,83,3452,8919,14020,1302,18883,325,12109,9610,72426,1089,4312,18883,3.64390626751878,64.1264629560981,4.52788222210454,4.69734681989091,8.9933107605913,0,100,6.89509082243288,4.60057061340942,14.1440798858773,40.9343794579173,20.3566333808844,22.8353545517132
"81",39049006236,189531,0,648,243,0,NA,0,1854,1956,1723,151,197,197,12,43.7,3227,1992,2532,0,265,2119,4184,71,6114,0,5245,3584,179917,71,42,6114,0,85.786719005561,0,3.22211318285901,1.3536701620591,NA,100,1.16126921818777,0.286806883365201,3.60898661567878,46.7495219885277,41.1806883365201,0.686947988223749
"82",39049006310,132917,0,428,388,18,NA,9,1317,1305,1232,151,60,60,49,45.9,1478,1962,1980,0,410,1759,3086,61,4374,32,3824,2743,131510,52,113,4374,1.81921546333144,87.4256973022405,0.411522633744856,1.37174211248285,1.35983263598326,50,100,1.39460448102423,1.58781594296824,4.89306545690214,42.2877511341542,39.9222294232016,2.58344764517604
"83",39049006321,128929,0,341,311,9,NA,0,1215,931,1182,228,147,136,94,44.3,1315,1969,1578,0,331,1639,2949,56,4350,93,3831,2657,126250,41,137,4244,5.67419158023185,88.0689655172414,0.206896551724138,3.37931034482759,1.07021665361524,0,92.5170068027211,1.28735632183908,3.18752119362496,7.73143438453713,31.57002373686,40.0813835198372,3.22808671065033
"84",39049006323,121231,0,325,429,16,NA,0,989,977,1018,171,91,91,0,46.5,1164,1960,1481,4,505,1527,2631,95,3482,33,3006,2304,121272,74,214,3482,2.16110019646365,86.3296955772545,0.459506031016657,2.61344055140724,2.46174318030605,0,100,2.7283170591614,0,6.49942987457241,37.1341695172938,38.6925123527176,6.14589316484779
"85",39049006330,92284,0,217,602,0,NA,0,1325,1512,1049,302,87,87,17,37.9,1649,1956,1560,33,740,2092,3534,40,5077,27,4633,3338,92804,27,371,5077,1.2906309751434,91.2546779594249,0,1.71361039984243,0.582775739261817,NA,100,0.787866850502265,0.481041312959819,8.54555744199208,42.7843803056027,29.6830786644029,7.30746503840851
"86",39049006340,123409,0,416,242,0,NA,0,928,819,954,152,106,106,45,44.1,1255,1976,1734,0,324,1330,2368,98,3385,78,2946,2067,122955,89,344,3385,5.86466165413534,87.0310192023634,0,3.1314623338257,3.02104548540394,NA,100,2.89512555391433,1.90033783783784,6.41891891891892,34.5861486486487,40.2871621621622,10.1624815361891
"87",39049006351,70653,0,200,591,417,131648,16,1135,990,872,597,332,332,154,35.5,1083,1976,1131,0,778,1963,3367,418,4474,50,3466,2747,70573,271,799,4442,2.54712175241977,77.4698256593652,9.32051855163165,7.42065265981225,7.81881130986728,3.83693045563549,100,9.34286991506482,4.57380457380457,17.7309177309177,29.4030294030294,25.8984258984259,17.9873930661864
"88",39049006352,42433,0,691,925,193,43203,69,468,1064,693,103,146,146,129,27.4,1047,1978,1050,9,1341,1971,2360,710,3208,162,2234,1586,42065,489,1696,3208,8.21917808219178,69.6384039900249,6.01620947630923,4.55112219451372,21.8889883616831,35.7512953367876,100,22.1321695760599,5.46610169491525,4.36440677966102,45.0847457627119,29.364406779661,52.8678304239402
"89",39049006353,50676,0,458,1023,683,36190,118,954,1257,561,742,129,129,272,32.9,899,1978,937,50,1458,2599,3861,378,5159,187,3733,3105,56875,199,1509,5159,7.19507502885725,72.3589842992828,13.238999806164,2.50048459003683,5.33083311009912,17.2767203513909,100,7.3270013568521,7.04480704480704,19.2178192178192,32.5563325563326,14.5299145299145,29.249854622989
"90",39049006371,75763,0,783,927,578,54019,21,1729,1880,906,853,430,415,245,34.4,1113,1983,1232,35,1315,3223,5162,626,7237,179,5445,4188,80000,508,1511,7232,5.55383183369532,75.2383584358159,7.98673483487633,5.9416885449772,9.32966023875115,3.63321799307958,96.5116279069768,8.64999309105983,4.74622239442077,16.5246028671058,36.4199922510655,17.551336691205,20.8932522123894
