"","GEOID","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"64",39049005000,6628,8072.463366,0.156608328,1038,86.57211829,9.308992154,5738,617,38,45,190,2378,1394,984,779,2807,15.28322052,429,31.2009656,2068,4004,2227,1091,143,26,0.649350649,2378,1624,68.29268293,26097.52828,83,1.252263126,38048.55974,23394.64264,5432,1733,527,278,31.90353461,"52.75142315"
"65",39049005100,2224,1441.160676,0.12544964,279,54.58633094,28.73201439,1214,639,3,6,359,880,473,407,306,997,11.73520562,117,46.0881295,1025,1272,619,417,48,42,3.301886792,880,500,56.81818182,22007.8125,26,1.169064748,34335.74517,13037.73054,1128,321,477,393,28.45744681,"82.38993711"
"66",39049005200,2612,7699.287956,0.355666156,929,86.56202144,9.264931087,2261,242,9,41,56,1506,398,1108,805,1658,9.167671894,152,14.62480858,382,2034,215,247,747,539,26.49950836,1506,902,59.8937583,60665.27488,60,2.297090352,75422.77696,67352.35118,2167,301,237,81,13.89017074,"34.17721519"
"67",39049005300,3479,6151.08337,0.138545559,482,13.5096292,82.46622593,470,2869,9,21,110,1204,730,474,366,1659,27.42616034,455,43.80569129,1524,1938,746,534,136,86,4.437564499,1204,846,70.26578073,35126.64601,42,1.207243461,66192.52041,29957.63003,516,170,2861,1307,32.94573643,"45.68332751"
"68",39049005410,1939.623,4996.23591,0.134858949,261.57552,5.268013423,91.88728944,102.1796,1782.267,2.012732,4.999969,48.1581,707.7488821,468.1714055,239.5774766,270.3824865,927.1116545,23.66087961,219.3627724,29.78322678,577.6823168,1098.647674,404.8677569,411.8895609,26.27838713,40.06529549,3.646782898,707.7488821,433.8675794,61.30247471,25450.18785,37.05621,1.910485182,31134.89595,36154.35969,122.2832613,10.07276135,1734.18217,548.5932867,8.237236432,"31.63412103"
"69",39049005420,2541.365,6979.681469,0.12450903,316.42289,3.888452072,92.30165679,98.81976,2345.722,6.987256,0,86.84161,961.2467971,643.8257364,317.4210607,210.615861,1160.882684,17.19690453,199.6358869,36.37077547,924.3141579,1455.345618,477.1297705,489.1079238,152.7214537,35.9344597,2.469135802,961.2467971,477.1297705,49.63655244,31827.60943,30.94356,1.217596056,47128.89759,37649.68543,155.7159921,39.92717745,2298.807242,875.4033656,25.64102564,"38.08076422"
"70",39049005500,5377,9404.705387,0.124604798,670,7.048540078,89.06453413,379,4789,12,47,150,1987,1357,630,532,2346,15.3026428,359,29.34721964,1578,3118,781,1349,194,148,4.746632457,1987,944,47.50880725,30874.24242,95,1.766784452,46332.80151,43534.96303,347,54,4577,1338,15.56195965,"29.23312213"
"71",39049005610,2375,9729.88173,0.149052632,354,36.63157895,58.06315789,870,1379,17,23,86,834,555,279,155,1019,18.15505397,185,36.25263158,861,1230,562,395,29,9,0.731707317,834,512,61.39088729,32861.5099,28,1.178947368,46698.40637,41566.46402,851,279,1383,525,32.78495887,"37.96095445"
"72",39049005620,2970,10603.77455,0.147138047,437,69.05723906,26.43097643,2051,785,21,10,102,1097,702,395,348,1218,9.934318555,121,24.64646465,732,1836,655,705,101,31,1.688453159,1097,519,47.31084777,37884.89209,62,2.087542088,51276.92709,52790.45303,2041,517,817,174,25.33072024,"21.29742962"
"73",39049005700,3146,3955.439364,0.314685315,990,93.54736173,3.178639542,2943,100,6,42,54,1857,587,1270,933,2008,7.519920319,151,6.03941513,190,2554,216,383,876,533,20.86922475,1857,961,51.75013463,66655.5496,52,1.652892562,80937.77621,63293.49822,2933,172,96,6,5.864302762,"6.25"
