"","GEOID","medianhhincome_2010","aian_2010","asian_2010","hhlivingalone_2010","black_2010","blackmedianincome_2010","blackpoverty_2010","familyhouseholds_2010","fouryeardegree_2010","graddegree_2010","hsgrad_2010","latino_2010","latinopoverty_2010","lessthanhs_2010","medianage_2010","grossrent_2010","monthlyhousingcost_2010","multipleraces_2010","nonfamilyhouseholds_2010","numberofhousingunits_2010","over25population_2010","poverty_2010","totalpopulation_2010","vacantunits_2010","white_2010","white25andolder_2010","whitemedianincome_2010","whitepoverty_2010","renters_2010","occupiedunits_2010","vacancyrate_2010","pctwhite_2010","pctblack_2010","pctlatino_2010","pctwhitepoverty_2010","pctblackpoverty_2010","pctlatinopoverty_2010","pctpoverty_2010","pctlessthanhs_2010","pcthsgrad_2010","pctfouryeardegree_2010","pctgraddegree_2010","pctrenters_2010"
"118",39049006933,26003,0,0,596,2588,30344,793,1020,469,123,847,381,381,261,29.8,687,731,0,731,2663,2507,1534,4231,912,1447,971,16685,672,1357,4231,34.2470897484041,34.1999527298511,61.1675726778539,9.0049633656346,46.4409122322046,30.6414219474498,100,36.2562042070433,10.410849621061,33.7854008775429,18.7076186677304,4.90626246509773,32.0727960293075
"119",39049006942,33413,0,0,269,311,16563,174,233,165,74,194,14,14,55,34.2,693,709,0,290,565,618,268,986,42,650,527,35000,69,451,986,7.43362831858407,65.9229208924949,31.5415821501014,1.41987829614604,10.6153846153846,55.9485530546624,100,27.1805273833671,8.89967637540453,31.3915857605178,26.6990291262136,11.9741100323625,45.7403651115619
"120",39049006943,42185,0,44,458,1000,37472,69,1129,452,159,1151,53,53,348,35.5,717,785,0,530,1870,2974,566,4434,211,3282,2228,42500,497,530,4434,11.283422459893,74.0189445196211,22.55299954894,1.19530897609382,15.1432053625838,6.9,100,12.7649977447,11.7014122394082,38.7020847343645,15.1983860121049,5.34633490248823,11.9530897609382
"121",39049006944,66488,0,53,436,553,92885,8,1041,653,275,899,238,229,200,47,916,1104,21,562,1867,2913,93,3702,264,2802,2323,65690,85,293,3702,14.1403320835565,75.6888168557536,14.9378714208536,6.42895732036737,3.03354746609565,1.44665461121157,96.218487394958,2.51215559157212,6.86577411603158,30.861654651562,22.4167524888431,9.44043940954343,7.91464073473798
"122",39049006945,35458,0,0,896,2286,33894,702,1033,478,274,1021,783,783,736,31.8,714,726,71,1428,2759,3624,1301,5167,298,2360,1703,38139,457,1931,5167,10.8010148604567,45.67447261467,44.2423069479388,15.1538610412231,19.364406779661,30.7086614173228,100,25.1790207083414,20.3090507726269,28.173289183223,13.1898454746137,7.560706401766,37.3717824656474
"123",39049006950,99531,0,92,260,48,59773,0,944,860,693,374,43,43,32,56.8,1525,1513,0,275,1272,2291,89,2708,53,2516,2133,99063,89,28,2708,4.16666666666667,92.9098966026588,1.7725258493353,1.58788774002954,3.53736089030207,0,100,3.28655834564254,1.39676996944566,16.3247490178961,37.538192928852,30.2487996508075,1.03397341211226
"124",39049006990,55000,0,68,790,1027,32371,52,1601,1174,659,725,417,417,218,32.5,716,893,80,953,2960,3934,680,6369,406,4921,3269,69826,519,1108,6369,13.7162162162162,77.264876746742,16.124980373685,6.547338671691,10.5466368624263,5.06329113924051,100,10.6767153399278,5.54143365531266,18.4290798169802,29.8423995932893,16.751398068124,17.3967655832941
"125",39049007010,33523,0,0,343,686,22195,393,599,410,235,390,43,43,78,22.1,659,786,0,399,1033,1481,527,3344,35,2566,1182,55063,114,474,2279,3.38818973862536,76.7344497607656,20.5143540669856,1.28588516746411,4.44271239282931,57.2886297376093,100,15.7595693779904,5.26671168129642,26.3335584064821,27.6839972991222,15.8676569885213,20.7985958753839
"126",39049007020,65909,0,79,643,262,103250,0,1823,1163,819,1259,108,108,242,42.3,748,1161,0,727,2638,4509,640,6512,88,5995,4123,64430,611,499,6439,3.33586050037908,92.0608108108108,4.02334152334152,1.65847665847666,10.1918265221018,0,100,9.82800982800983,5.36704369039698,27.9219339099579,25.7928587269905,18.1636726546906,7.74965056685821
"127",39049007041,75125,0,79,394,113,184412,0,495,779,472,226,0,0,0,39,913,1452,0,394,992,1701,94,2249,103,1959,1501,80156,94,423,1945,10.383064516129,87.105380168964,5.02445531347265,0,4.79836651352731,0,NA,4.17963539350823,0,13.2863021751911,45.7965902410347,27.7483833039389,21.7480719794344
