GEOID,totalpopulation_1970,white_1970,black_1970,poverty_1970,pctpoverty_1970,pctwhite_1970,pctblack_1970
39049009385,1443,1434,0,15,18.75,99.37629938,0
39049009386,205,183,0,0,0,89.26829268,0
39049009390,1261,1215,0,7,12.96296296,96.35210151,0
39049009410,972.399,940.7251,8.699733,5.619224,30.52091515,96.74270541,0.894667004
39049009420,6363.748,6223.484,0,38.79514,41.48612949,97.79589009,0
39049009430,1470.87,1437.895,0,4.996161,19.999996,97.75812954,0
39049009440,2692.27,2596.916,0,46.6349,37.81135551,96.45823042,0
39049009450,2207.998,2123.998,0,57.99993,37.41935796,96.19564873,0
39049009495,605.3127,584.0225,0,6.93215,44.092878,96.48277659,0
39049009497,1355.442,1307.323,0,15.35208,44.64251858,96.44994031,0
39049009520,2304,2251,0,26,24.76190476,97.69965278,0
39049009590,4531.961,4449.758,0,31.31565,30.18867652,98.18614944,0
39049009600,4865.624,4139.627,711.001,102.9506,27.69424122,85.07905666,14.61274032
39049009711,5449.401,5375.615,13.87418,28.37901,27.43903111,98.64597962,0.254600093
39049009712,3194.976,3151.757,8.124832,16.6704,27.40302488,98.64728248,0.254300251
39049009720,1844.193,1778.963,0.8073277,5.228638,13.54158271,96.46295155,0.043776747
39049009740,1857.736,1847.711,6.398556,16.59526,42.68129493,99.46036466,0.344427626
39049009751,1253.429,1247.586,4.017401,11.32177,43.05556189,99.53383877,0.320512849
39049009752,388.4605,385.9546,1.570695,3.430406,42.41823585,99.35491511,0.404338408
39049009800,4076.626,3795.007,22.49038,41.06939,26.75159082,93.09186077,0.551691031
39049009900,1483.203,1466.326,6.903968,5.369753,18.18181911,98.86212474,0.465476944
39049010000,1984.713,1940.088,0.0138919,10.55429,34.41022354,97.75156408,0.000699945
39049010100,203.7004,162.6485,36.81354,7.42937,40.57465797,79.84692224,18.07239456
39049010200,938.6046,905.5848,0,10.74457,44.10884257,96.48203301,0
39049010300,5897.234,5042.905,721,3.087739,40.35975238,85.51305578,12.22607073
39049010400,286.2558,278.3273,0,2.765757,36.14458634,97.23027446,0
39049010500,402.5852,391.4347,0,3.889712,36.14456667,97.23027573,0
39049010601,640.8736,612.8436,9.052504,4.035453,49.9999938,95.62628262,1.412525652
39049010602,1906.949,1823.545,26.93615,12.00768,50,95.62631198,1.412525977
39049010700,1288.432,1260.173,4.471237,39.16804,23.72697529,97.8067139,0.347029335
39049980000,8.212346,8.091899,0,0.1970963,58.06450377,98.53334236,0
